Configuration,Rule Source,Sarif Identifier,Alerts
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/str-format/surplus-argument,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/str-format/surplus-named-argument,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/summary/lines-of-code,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/summary/lines-of-user-code,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/super-in-old-style,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/super-not-enclosing-class,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/syntax-error,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/tarslip,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/template-injection,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/test-equals-none,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/truncated-division,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/undefined-export,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/undefined-placeholder-variable,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/unexpected-raise-in-special-method,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/unguarded-next-in-generator,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/uninitialized-local-variable,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/unnecessary-delete,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/unnecessary-lambda,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/unnecessary-pass,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/unreachable-except,0
